name height left top width label
1.png 219 246 77 81 1
1.png 219 323 81 96 9
2.png 32 77 29 23 2
2.png 32 98 25 26 3
3.png 15 17 5 8 2
3.png 15 25 5 9 5
4.png 34 57 13 15 9
4.png 34 72 13 13 3
5.png 46 52 7 21 3
5.png 46 74 10 15 1
6.png 21 28 6 10 3
6.png 21 38 8 11 3
7.png 32 35 10 13 2
7.png 32 47 11 13 8
8.png 15 17 4 7 7
8.png 15 25 4 6 4
8.png 15 31 3 7 4
9.png 24 19 4 14 1
9.png 24 29 4 13 2
9.png 24 38 5 17 8
10.png 27 25 6 9 1
10.png 27 34 4 14 6
11.png 26 22 5 12 2
11.png 26 33 4 9 3
12.png 55 67 16 23 6
12.png 55 90 17 20 3
13.png 33 44 12 17 4
13.png 33 63 13 18 2
14.png 42 35 2 21 5
14.png 42 55 2 23 8
15.png 20 22 8 14 1
15.png 20 33 7 10 6
16.png 19 20 3 7 2
16.png 19 26 1 7 3
17.png 22 23 4 14 7
17.png 22 35 4 12 9
18.png 41 52 12 28 5
18.png 41 80 17 21 3
19.png 19 19 1 7 2
19.png 19 28 1 7 2
19.png 19 36 1 7 2
20.png 24 20 2 11 6
20.png 24 32 1 11 2
21.png 85 72 6 52 2
22.png 16 24 4 10 5
22.png 16 34 5 7 1
22.png 16 40 5 11 5
23.png 32 29 5 21 4
23.png 32 52 5 22 7
24.png 34 233 59 19 8
24.png 34 248 56 21 9
25.png 50 60 11 24 6
25.png 50 87 9 24 10
25.png 50 113 7 21 1
26.png 32 34 7 12 2
26.png 32 49 8 13 4
27.png 45 46 11 26 5
27.png 45 73 8 27 6
28.png 33 31 8 13 5
28.png 33 42 7 10 2
29.png 18 43 14 10 1
29.png 18 51 13 16 3
29.png 18 66 14 5 2
30.png 25 16 1 7 1
30.png 25 25 1 11 4
31.png 19 14 1 10 6
31.png 19 24 1 11 3
31.png 19 36 1 11 8
32.png 33 48 16 17 4
32.png 33 67 19 18 3
33.png 33 27 5 16 1
33.png 33 42 5 18 4
34.png 32 41 13 16 4
34.png 32 54 9 24 2
35.png 14 25 5 7 6
36.png 47 50 9 23 4
36.png 47 72 8 24 4
37.png 20 24 4 6 1
37.png 20 42 2 7 1
38.png 57 87 28 26 1
38.png 57 108 22 37 7
39.png 40 62 19 13 3
39.png 40 74 20 9 1
40.png 61 61 9 28 2
40.png 61 93 17 28 10
41.png 35 38 10 11 4
41.png 35 50 9 13 2
42.png 51 110 27 25 2
42.png 51 131 36 30 5
42.png 51 159 36 26 1
43.png 51 87 24 31 2
43.png 51 119 20 26 9
44.png 26 19 3 13 2
44.png 26 32 3 8 10
44.png 26 40 3 7 4
45.png 31 35 3 8 1
45.png 31 44 4 12 10
46.png 104 136 87 49 3
46.png 104 201 44 41 2
46.png 104 257 18 53 7
47.png 15 14 2 6 2
47.png 15 20 1 5 4
48.png 50 74 20 28 4
48.png 50 103 17 29 6
49.png 45 65 18 36 8
49.png 45 102 15 26 1
49.png 45 132 16 28 7
50.png 26 58 27 11 1
50.png 26 74 22 15 10
50.png 26 95 17 15 3
51.png 45 47 7 16 9
51.png 45 66 9 9 1
52.png 38 45 12 23 3
52.png 38 74 11 28 5
53.png 84 160 34 59 9
53.png 84 208 18 52 3
54.png 45 36 10 18 1
54.png 45 56 8 21 1
55.png 35 116 27 15 1
55.png 35 128 29 10 1
55.png 35 137 29 17 3
55.png 35 151 26 17 7
56.png 20 22 4 9 5
56.png 20 35 3 9 6
57.png 25 63 38 16 2
57.png 25 74 26 15 1
57.png 25 83 12 19 5
58.png 46 45 6 19 1
58.png 46 65 2 17 1
59.png 42 35 3 19 2
60.png 20 16 1 9 4
60.png 20 25 1 7 7
61.png 19 33 6 9 5
62.png 46 45 6 24 3
62.png 46 61 8 25 2
63.png 63 96 23 40 4
63.png 63 132 27 37 3
64.png 26 26 4 8 2
64.png 26 37 3 16 9
65.png 21 25 6 11 5
65.png 21 36 7 12 8
66.png 30 38 6 11 9
66.png 30 46 6 14 5
67.png 47 48 5 12 1
67.png 47 59 4 22 10
68.png 35 71 19 14 5
68.png 35 88 19 13 4
68.png 35 102 14 20 2
69.png 46 54 12 15 4
69.png 46 67 16 14 4
70.png 16 20 5 11 3
70.png 16 30 5 7 1
71.png 22 24 4 11 2
71.png 22 36 4 10 3
71.png 22 48 3 9 8
71.png 22 58 3 10 6
72.png 17 26 6 7 1
72.png 17 34 5 11 5
73.png 14 18 3 5 3
74.png 26 28 4 10 3
74.png 26 40 6 12 3
75.png 29 34 10 7 1
75.png 29 40 9 11 8
76.png 18 22 2 6 9
76.png 18 29 2 6 8
77.png 60 53 5 30 7
77.png 60 84 4 24 3
77.png 60 106 6 24 9
78.png 22 78 14 9 1
78.png 22 86 14 8 3
78.png 22 93 12 11 8
79.png 51 40 41 22 1
79.png 51 64 33 30 9
79.png 51 99 17 35 2
79.png 51 138 11 31 2
80.png 19 38 11 12 2
80.png 19 54 8 16 2
81.png 31 49 8 14 7
81.png 31 64 7 17 4
82.png 30 35 8 19 4
82.png 30 54 6 18 5
83.png 29 36 6 16 6
83.png 29 53 15 12 10
84.png 32 34 6 20 3
85.png 15 17 7 6 1
85.png 15 23 6 7 7
86.png 20 26 4 7 3
86.png 20 33 5 9 5
87.png 35 67 16 14 1
87.png 35 81 17 24 7
88.png 36 47 13 27 5
89.png 64 85 23 26 1
89.png 64 110 19 33 8
90.png 30 37 6 6 1
90.png 30 46 7 13 6
90.png 30 61 10 13 4
91.png 26 49 18 9 1
91.png 26 59 17 11 9
91.png 26 68 13 11 3
92.png 35 35 6 19 3
92.png 35 56 8 14 5
93.png 32 40 11 12 1
93.png 32 51 7 19 7
94.png 34 54 18 12 1
94.png 34 67 12 19 2
95.png 26 127 58 10 1
95.png 26 136 60 9 10
95.png 26 148 60 11 4
95.png 26 157 59 10 4
96.png 39 33 6 23 1
96.png 39 56 5 32 8
97.png 32 34 8 16 3
97.png 32 48 6 14 6
98.png 37 50 7 15 1
98.png 37 66 7 21 2
98.png 37 85 11 27 10
99.png 29 30 4 17 2
100.png 22 18 1 5 1
100.png 22 23 0 9 10
100.png 22 32 0 10 9
101.png 27 27 7 13 5
101.png 27 42 5 12 3
102.png 51 58 14 18 3
102.png 51 77 9 16 5
103.png 28 54 2 20 7
104.png 69 67 18 29 1
104.png 69 99 20 21 10
104.png 69 122 12 26 4
105.png 100 83 13 44 1
105.png 100 128 10 69 4
106.png 17 37 12 10 1
106.png 17 49 12 11 4
107.png 29 49 16 14 5
107.png 29 64 13 16 2
108.png 27 28 3 14 2
109.png 28 38 11 18 3
109.png 28 57 10 14 10
110.png 18 16 1 10 6
110.png 18 27 1 11 3
111.png 20 23 8 11 9
112.png 37 31 2 14 1
112.png 37 44 1 21 8
112.png 37 63 6 19 7
113.png 21 19 1 8 1
113.png 21 27 3 12 3
114.png 28 29 6 7 1
114.png 28 37 4 10 9
115.png 26 26 1 9 3
115.png 26 38 1 13 2
116.png 14 27 12 8 5
116.png 14 34 12 6 1
116.png 14 40 11 9 3
117.png 145 145 8 79 4
117.png 145 224 13 87 8
118.png 15 13 2 9 3
118.png 15 22 2 9 4
118.png 15 31 1 9 2
118.png 15 40 1 7 1
119.png 48 91 55 27 3
119.png 48 113 44 29 2
119.png 48 135 33 39 3
120.png 40 65 20 24 5
120.png 40 84 20 17 1
121.png 21 32 8 6 1
121.png 21 43 8 13 3
121.png 21 63 7 11 5
121.png 21 79 7 13 8
122.png 23 21 2 4 1
122.png 23 26 1 5 7
123.png 22 25 5 10 6
124.png 23 19 1 10 5
125.png 17 18 3 6 6
125.png 17 23 3 10 4
126.png 52 56 14 15 1
126.png 52 72 12 22 10
126.png 52 97 8 21 8
127.png 36 32 15 16 8
128.png 45 56 16 9 1
128.png 45 65 22 11 3
129.png 17 21 5 8 6
129.png 17 29 5 9 8
130.png 21 26 4 17 4
131.png 18 24 6 8 1
131.png 18 32 5 11 7
131.png 18 44 5 11 4
132.png 67 78 20 43 9
132.png 67 122 8 36 8
133.png 99 91 13 43 4
133.png 99 132 14 44 4
134.png 14 16 2 9 9
135.png 28 26 2 13 6
135.png 28 41 3 12 8
136.png 37 52 10 15 2
137.png 43 50 10 14 1
137.png 43 70 10 17 10
138.png 37 60 19 17 4
138.png 37 81 15 20 6
139.png 23 21 1 13 2
139.png 23 35 2 13 8
140.png 18 18 1 12 9
141.png 24 25 4 9 3
141.png 24 35 2 8 9
142.png 87 92 7 65 4
143.png 24 51 13 17 4
143.png 24 67 14 14 1
144.png 28 27 3 8 1
144.png 28 36 3 14 9
144.png 28 51 3 11 5
145.png 93 93 18 38 3
145.png 93 120 23 38 3
146.png 13 23 4 7 2
146.png 13 29 5 9 5
146.png 13 37 7 6 1
146.png 13 43 6 9 8
147.png 24 28 3 6 1
147.png 24 34 3 14 5
148.png 30 140 43 16 3
148.png 30 161 43 19 10
148.png 30 183 42 19 10
149.png 17 19 3 8 4
149.png 17 26 3 9 7
150.png 27 136 36 19 2
150.png 27 156 36 12 8
150.png 27 167 35 18 6
151.png 21 25 4 14 3
151.png 21 40 4 15 3
152.png 37 52 8 15 2
152.png 37 66 10 12 10
152.png 37 76 9 11 7
153.png 28 30 7 6 1
153.png 28 36 7 9 9
154.png 20 18 3 14 2
155.png 44 68 13 22 7
156.png 28 35 9 16 6
157.png 37 37 7 26 5
157.png 37 65 7 23 7
158.png 81 113 34 53 2
159.png 29 28 11 23 9
159.png 29 51 6 14 1
160.png 27 49 9 8 2
160.png 27 59 11 8 10
160.png 27 70 11 13 8
